bubblegum16,#16171a,#7f0622,#d62411,#ff8426,#ffd100,#fafdff,#ff80a4,#ff2674,#94216a,#430067,#234975,#68aed4,#bfff3c,#10d275,#007899,#002859
cretaceous16,#313432,#323e42,#454b4b,#3a5f3b,#7c4545,#675239,#625055,#516b43,#796c64,#718245,#9e805c,#998579,#ac9086,#a6a296,#b4ab8f,#bcb7a5
edg16,#e4a672,#b86f50,#743f39,#3f2832,#9e2835,#e53b44,#fb922b,#ffe762,#63c64d,#327345,#193d3f,#4f6781,#afbfd2,#ffffff,#2ce8f4,#0484d1
galaxyflame,#699fad,#3a708e,#2b454f,#111215,#151d1a,#1d3230,#314e3f,#4f5d42,#9a9f87,#ede6cb,#f5d893,#e8b26f,#b6834c,#704d2b,#40231e,#151015
antiquity16,#202020,#2d211e,#452923,#6d3d29,#b16b4a,#e89f6e,#e8be82,#5d7557,#8e9257,#707b88,#8aa7ac,#e55d4d,#f1866c,#d26730,#de9a28,#e8d8a5
parchmentandink,#f1e2be,#e6d1a1,#f0d696,#caac77,#a58a62,#886243,#c0977a,#944431,#d2bc76,#ad9d62,#887c56,#594a45,#a9a994,#87867a,#445162,#000000
microsoftwindows,#000000,#7e7e7e,#bebebe,#ffffff,#7e0000,#fe0000,#047e00,#06ff04,#7e7e00,#ffff04,#00007e,#0000ff,#7e007e,#fe00ff,#047e7e,#06ffff
c64,#000000,#626262,#898989,#adadad,#ffffff,#9f4e44,#cb7e75,#6d5412,#a1683c,#c9d487,#9ae29b,#5cab5e,#6abfc6,#887ecb,#50459b,#a057a3
summerspast16,#320011,#5f3a60,#876672,#b7a39d,#ece8c2,#6db7c3,#5e80b2,#627057,#8da24e,#d2cb3e,#f7d554,#e8bf92,#e78c5b,#c66f5e,#c33846,#933942
db16,#140c1c,#442434,#30346d,#4e4a4e,#854c30,#346524,#d04648,#757161,#597dce,#d27d2c,#8595a1,#6daa2c,#d2aa99,#6dc2ca,#dad45e,#deeed6
forest16,#64988e,#3d7085,#0f2c2e,#345644,#6b7f5c,#b0b17c,#e1c584,#c89660,#ad5f52,#913636,#692f11,#89542f,#796e63,#a17d5e,#b4a18f,#ecddba
ds16,#000000,#001418,#002024,#002c38,#143444,#443444,#583c48,#6c4c44,#806058,#6c706c,#888078,#a49484,#c4ac9c,#d8b0a8,#ecd4d0,#fcfcfc
goline,#430067,#94216a,#ff004d,#ff8426,#ffdd34,#50e112,#3fa66f,#365987,#000000,#0033ff,#29adff,#00ffcc,#fff1e8,#c2c3c7,#ab5236,#5f574f
miyazaki16,#232228,#284261,#5f5854,#878573,#b8b095,#c3d5c7,#ebecdc,#2485a6,#54bad2,#754d45,#c65046,#e6928a,#1e7453,#55a058,#a1bf41,#e3c054
nannerjam,#352b40,#653d48,#933f45,#b25e46,#cc925e,#dacb80,#f0e9c9,#76c379,#508d76,#535c89,#7b99c8,#99d4e6,#be7979,#d8b1a1,#7d6e6e,#c2b5a9
pastelhorizon,#53437f,#a89fcc,#ffffff,#ffd9e8,#ff9bb6,#9968e2,#be9bff,#7fceff,#6d81ff,#2c6f99,#00bcaa,#c48f9e,#8e586f,#ff5470,#ff9b71,#ffd9ae
woodspark,#f5eeb0,#fabf61,#e08d51,#8a5865,#452b3f,#2c5e3b,#609c4f,#c6cc54,#78c2d6,#5479b0,#56546e,#839fa6,#e0d3c8,#f05b5b,#8f325f,#eb6c98
shidoneon,#00033c,#005260,#009d4a,#0aff52,#003884,#008ac5,#00f7ff,#ff5cff,#ac29ce,#600088,#b10585,#ff004e,#2a2e79,#4e6ea8,#add4fa,#ffffff
cardboardpaint,#d2b2a0,#b18979,#6f544c,#3e2a2e,#8f3641,#b9684f,#d2a865,#75a165,#457c60,#32554f,#518183,#85a7b6,#575777,#4d3956,#854865,#be7a80
16bital,#212b5e,#636fb2,#adc4ff,#ffffff,#ffccd7,#ff7fbd,#872450,#e52d40,#ef604a,#ffd877,#00cc8b,#005a75,#513ae8,#19baff,#7731a5,#b97cff
cga,#000000,#555555,#aaaaaa,#ffffff,#0000aa,#5555ff,#00aa00,#55ff55,#00aaaa,#55ffff,#aa0000,#ff5555,#aa00aa,#ff55ff,#aa5500,#ffff55
nanner16,#7acccc,#627db3,#554080,#592858,#804055,#b37d62,#ccc97a,#70b362,#40806a,#274457,#cccccc,#999491,#665c5f,#332b33,#804e46,#4d2a2a
taffy16,#222533,#6275ba,#a3c0e6,#fafffc,#ffab7b,#ff6c7a,#dc435b,#3f48c2,#448de7,#2bdb72,#a7f547,#ffeb33,#f58931,#db4b3d,#a63d57,#36354d
pastelpop16,#000000,#fffcff,#e6e1f2,#b2b7e1,#595b7d,#7b8ac6,#ffd9f4,#e1adc3,#ad80a6,#fba2d7,#fae0c7,#f0abab,#97c4aa,#bfedf5,#73c9eb,#caaff5
punolite,#64c224,#0fa10d,#097938,#0b6457,#0a5058,#0a4158,#0a2e58,#091837,#281961,#552067,#702763,#863453,#a14b4b,#b67a5b,#c8a26e,#e1d483
daylight16,#f2d3ac,#e7a76c,#c28462,#905b54,#513a3d,#7a6977,#878c87,#b5c69a,#272223,#606b31,#b19e3f,#f8c65c,#d58b39,#996336,#6a422c,#b55b39
urbex16,#cbd1be,#8f9389,#52534c,#26201d,#e0a46e,#91a47a,#5d7643,#4d533a,#a93130,#7a1338,#834664,#917692,#160712,#593084,#3870be,#579fb4
shiny16,#1f1723,#3c2f52,#8c7f90,#bcb0b3,#e2e2e2,#d86830,#f09548,#efd081,#b22741,#f5464c,#f79c88,#4656a5,#4995f3,#72deeb,#3ec54b,#b4e656
aragon16,#f9f8dd,#d2e291,#a8d455,#9cab6c,#5c8d58,#3b473c,#8b8893,#54555c,#e0bf7a,#ba9572,#876661,#272120,#b7c4d0,#8daad6,#9197b6,#6b72d4
sotspalette,#92503f,#703a28,#56452b,#403521,#cfbc95,#949576,#81784d,#605f33,#7a7e67,#93a399,#51675a,#2f4845,#425961,#467e73,#01141a,#203633
colorquest,#99d4aa,#498e86,#324859,#437a4d,#7dbe58,#eadb77,#dc8254,#c13d37,#61363d,#b06163,#e6af89,#fff9e5,#c1a68c,#8b6962,#0d0b0d,#9d5745
outrunner16,#4d004c,#8f0076,#c70083,#f50078,#ff4764,#ff9393,#ffd5cc,#fff3f0,#000221,#000769,#00228f,#0050c7,#008bf5,#00bbff,#47edff,#93fff8
systemmini16,#000000,#68605c,#b0b0b8,#fcfcfc,#1c38ac,#7070fc,#a82814,#fc4848,#208800,#70f828,#b82cd0,#fc74ec,#ac581c,#f8a850,#3cd4e4,#f8ec20
